"Date","Years","Months","Lake","Specie","Value"
"4/23/2019",2019,4,"GBS","Temp","8.48"
"5/22/2019",2019,5,"GBS","Temp","11.79"
"6/26/2019",2019,6,"GBS","Temp","16.22"
"7/24/2019",2019,7,"GBS","Temp","16.8"
"8/21/2019",2019,8,"GBS","Temp","16"
"9/18/2019",2019,9,"GBS","Temp","15.23"
"10/23/2019",2019,10,"GBS","Temp","12.57"
"NaN",2019,11,"GBS","Temp","NaN"
"12/11/2019",2019,12,"GBS","Temp","7.02"
"NaN",2000,1,"KBS","Temp","NaN"
"NaN",2000,2,"KBS","Temp","NaN"
"3/20/2000",2000,3,"KBS","Temp","5.33"
"4/30/2000",2000,4,"KBS","Temp","12.44"
"5/15/2000",2000,5,"KBS","Temp","14.32"
"6/14/2000",2000,6,"KBS","Temp","17.59"
"7/12/2000",2000,7,"KBS","Temp","16.23"
"8/9/2000",2000,8,"KBS","Temp","18.27"
"9/6/2000",2000,9,"KBS","Temp","16.17"
"10/4/2000",2000,10,"KBS","Temp","13.31"
"11/15/2000",2000,11,"KBS","Temp","7.88"
"12/12/2000",2000,12,"KBS","Temp","6.2"
"NaN",2001,1,"KBS","Temp","NaN"
"NaN",2001,2,"KBS","Temp","NaN"
"NaN",2001,3,"KBS","Temp","NaN"
"4/2/2001",2001,4,"KBS","Temp","7.68"
"5/2/2001",2001,5,"KBS","Temp","13.12"
"6/11/2001",2001,6,"KBS","Temp","15.73"
"7/9/2001",2001,7,"KBS","Temp","18.52"
"8/6/2001",2001,8,"KBS","Temp","19.31"
"9/3/2001",2001,9,"KBS","Temp","15.95"
"10/1/2001",2001,10,"KBS","Temp","13.63"
"11/13/2001",2001,11,"KBS","Temp","6.33"
"NaN",2001,12,"KBS","Temp","NaN"
"NaN",2002,1,"KBS","Temp","NaN"
"NaN",2002,2,"KBS","Temp","NaN"
"3/18/2002",2002,3,"KBS","Temp","6.18"
"NaN",2002,4,"KBS","Temp","NaN"
"NaN",2002,5,"KBS","Temp","NaN"
"NaN",2002,6,"KBS","Temp","NaN"
"NaN",2002,7,"KBS","Temp","NaN"
"8/5/2002",2002,8,"KBS","Temp","20.2"
"9/2/2002",2002,9,"KBS","Temp","16.63"
"NaN",2002,10,"KBS","Temp","NaN"
"NaN",2002,11,"KBS","Temp","NaN"
"NaN",2002,12,"KBS","Temp","NaN"
"NaN",2003,1,"KBS","Temp","NaN"
"NaN",2003,2,"KBS","Temp","NaN"
"3/17/2003",2003,3,"KBS","Temp","3.93"
"4/14/2003",2003,4,"KBS","Temp","6.76"
"5/12/2003",2003,5,"KBS","Temp","15.73"
"6/10/2003",2003,6,"KBS","Temp","18.86"
"NaN",2003,7,"KBS","Temp","NaN"
"8/4/2003",2003,8,"KBS","Temp","21.87"
"9/1/2003",2003,9,"KBS","Temp","18.83"
"10/27/2003",2003,10,"KBS","Temp","7.6"
"NaN",2003,11,"KBS","Temp","NaN"
"NaN",2003,12,"KBS","Temp","NaN"
"NaN",2004,1,"KBS","Temp","NaN"
"NaN",2004,2,"KBS","Temp","NaN"
"3/29/2004",2004,3,"KBS","Temp","5.31"
"4/13/2004",2004,4,"KBS","Temp","7.73"
"5/10/2004",2004,5,"KBS","Temp","11.51"
"NaN",2004,6,"KBS","Temp","NaN"
"7/5/2004",2004,7,"KBS","Temp","17.47"
"8/2/2004",2004,8,"KBS","Temp","19.12"
"9/27/2004",2004,9,"KBS","Temp","14.11"
"10/25/2004",2004,10,"KBS","Temp","11.59"
"NaN",2004,11,"KBS","Temp","NaN"
"NaN",2004,12,"KBS","Temp","NaN"
"NaN",2005,1,"KBS","Temp","NaN"
"NaN",2005,2,"KBS","Temp","NaN"
"NaN",2005,3,"KBS","Temp","NaN"
"4/4/2005",2005,4,"KBS","Temp","6.65"
"5/2/2005",2005,5,"KBS","Temp","13.46"
"6/27/2005",2005,6,"KBS","Temp","19.12"
"7/25/2005",2005,7,"KBS","Temp","18.16"
"8/22/2005",2005,8,"KBS","Temp","18.49"
"9/19/2005",2005,9,"KBS","Temp","16.84"
"10/17/2005",2005,10,"KBS","Temp","13.42"
"11/14/2005",2005,11,"KBS","Temp","9.87"
"NaN",2005,12,"KBS","Temp","NaN"
"NaN",2006,1,"KBS","Temp","NaN"
"NaN",2006,2,"KBS","Temp","NaN"
"NaN",2006,3,"KBS","Temp","NaN"
"NaN",2006,4,"KBS","Temp","NaN"
"5/2/2006",2006,5,"KBS","Temp","12.91"
"6/26/2006",2006,6,"KBS","Temp","19.2"
"7/24/2006",2006,7,"KBS","Temp","22.83"
"8/21/2006",2006,8,"KBS","Temp","19.41"
"9/18/2006",2006,9,"KBS","Temp","19.12"
"10/16/2006",2006,10,"KBS","Temp","15.1"
"11/13/2006",2006,11,"KBS","Temp","8.59"
"12/11/2006",2006,12,"KBS","Temp","6.71"
"NaN",2007,1,"KBS","Temp","NaN"
"NaN",2007,2,"KBS","Temp","NaN"
"3/5/2007",2007,3,"KBS","Temp","5.19"
"4/2/2007",2007,4,"KBS","Temp","7.51"
"5/2/2007",2007,5,"KBS","Temp","14.41"
"6/25/2007",2007,6,"KBS","Temp","21.01"
"7/23/2007",2007,7,"KBS","Temp","20.21"
"8/20/2007",2007,8,"KBS","Temp","20.05"
"9/17/2007",2007,9,"KBS","Temp","16.39"
"10/15/2007",2007,10,"KBS","Temp","13.34"
"11/12/2007",2007,11,"KBS","Temp","6.91"
"12/10/2007",2007,12,"KBS","Temp","4.13"
"NaN",2008,1,"KBS","Temp","NaN"
"NaN",2008,2,"KBS","Temp","NaN"
"3/30/2008",2008,3,"KBS","Temp","6.12"
"4/28/2008",2008,4,"KBS","Temp","11.31"
"5/26/2008",2008,5,"KBS","Temp","16.15"
"6/23/2008",2008,6,"KBS","Temp","20.81"
"7/21/2008",2008,7,"KBS","Temp","20.53"
"8/18/2008",2008,8,"KBS","Temp","20.44"
"9/15/2008",2008,9,"KBS","Temp","18.56"
"NaN",2008,10,"KBS","Temp","NaN"
"NaN",2008,11,"KBS","Temp","NaN"
"NaN",2008,12,"KBS","Temp","NaN"
"NaN",2009,1,"KBS","Temp","NaN"
"NaN",2009,2,"KBS","Temp","NaN"
"NaN",2009,3,"KBS","Temp","NaN"
"4/27/2009",2009,4,"KBS","Temp","11.76"
"5/27/2009",2009,5,"KBS","Temp","16.85"
"6/22/2009",2009,6,"KBS","Temp","18.48"
"7/20/2009",2009,7,"KBS","Temp","19.73"
"8/17/2009",2009,8,"KBS","Temp","21.97"
"9/14/2009",2009,9,"KBS","Temp","18.45"
